protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
IRPP-TD,3,-1,normal,credential_refresh,3,467.199655,289,28384,484,0,0x2004766cf2ed2f484688685e87f7d2b80d621f0d56207c1aa1df2504b06faea6
IRPP-TD,3,-1,normal,input_close,4,500.032126,289,18625,485,0,0xda58ac9f5ab434ba36aeceb0ec0ce3abaeacae5e9f3b93fa10ea0df0ada77be9
IRPP-TD,3,-1,normal,output_commit,5,499.413536,353,26849,486,0,0x7f79cb6e6bb9d61f0c1628660efe063da06474e642d526be2dda90fc763b31b5
IRPP-TD,3,-1,normal,settle,6,499.963497,225,13383,487,0,0xee80b435fcc61ee276d6ec2d19c270afd501a0212491973b91025c562b64f4b7
BSIF,3,-1,normal,publish,0,493.857232,609,76767,488,0,0x77229317586baa438b1d0cb6ff96c9264cf6a71f347a9acc2a0e06b6b4000b67
BSIF,3,-1,normal,encrypted_upload,1,499.395657,7651,1185200,489,0,0x360c55e1d2560e7781a97c67f5f16f26326b4a79ac59304a063aca79fb256a99
BSIF,3,-1,normal,encrypted_upload,2,502.134559,7651,1185200,490,0,0xa92e173b6e5456fc19e859e50909f5d3c8a73ba97163b086bd86930e1e58a1a1
BSIF,3,-1,normal,encrypted_upload,3,499.683245,7651,1185200,491,0,0x7cfc923c64e2a44cd21d621e171fe94d2a338c27af1d929807c3a814357f5f88
BSIF,3,-1,normal,quality_report,4,502.082212,225,18236,492,0,0xaa52929d085c9929ac904dcf89abbcad8990b41be90e8b6199c9a6f73a44436f
BSIF,3,-1,normal,reputation_update,5,535.631931,88,7486,493,0,0x9e451a8aac45e22ed3c3cd45244bdbce95902f5f6c7e34fd829472cd050599c7
BSIF,3,-1,normal,reputation_update,6,467.659063,88,7486,494,0,0xf1ce0c68ddfb261413d9d806896f47e14071e595cdc61f3c26c4feb883116275
BSIF,3,-1,normal,reputation_update,7,500.974769,88,7486,495,0,0x35ac6a44e481ac88e71f91210f5ae59ff5f68f714baf617dbc8da801c6b0da25
BSIF,3,-1,normal,settle,8,503.250169,225,11065,496,0,0xc5ef682d9345bd8cd96ef4891aa4b1560f87b2ced218f869fcab32c51638f2d1
RPPS-TDC,3,-1,normal,publish,0,496.096215,609,76767,497,0,0x782d58d8f8d913d83b152b4c5abe4b8201d61b11b212db27de8a25459990b348
RPPS-TDC,3,-1,normal,encrypted_upload,1,502.079897,7235,1119312,498,0,0x86560d6098bd668f130f934f4be87519a93eed52dab9406dbdbcd6009e0507cd
RPPS-TDC,3,-1,normal,encrypted_upload,2,501.110338,7235,1119312,499,0,0x34100c033983d37c21e311cf5d62c796ebe2c11c5564a2118e5dc2e4e8c3f55c
RPPS-TDC,3,-1,normal,encrypted_upload,3,501.374435,7235,1119312,500,0,0x1034dfa380f687320058721212c2c74802363bb7919ff703303a8f48bb919cd5
RPPS-TDC,3,-1,normal,trust_update,4,501.083797,225,11089,501,0,0xe9c7d7eb11a7148c24a9c50642a04e9fa8ba5caa332dc1fc7fb1ff21c36b203f
RPPS-TDC,3,-1,normal,selection,5,499.633269,225,16125,502,0,0x0eee8d759c2b0180275385828cc5c54d1c499dc609f1eb826c2dde410217d56d
RPPS-TDC,3,-1,normal,result,6,516.641840,225,16102,503,0,0x344ccd5300f984a9a5fff1f9bd7f6427b9f86007cb75d5fcf0ded09214296a4e
RPPS-TDC,3,-1,normal,reputation_update,7,610.185296,88,7486,504,0,0xfb498606b70174323fad7a45f4f7e6c927f59f860bcef2f1652a0455e98700b5
RPPS-TDC,3,-1,normal,reputation_update,8,376.472784,88,7486,505,0,0x0c115107862415517ad3cc5b5b50f181ad4d1cfa9d0b94994bb22559beef8af6
RPPS-TDC,3,-1,normal,reputation_update,9,500.605891,88,7486,506,0,0x5964c7102befd85599d15b5d57a4429a26780b3041b4ee37488a05a2103a48c7
RPPS-TDC,3,-1,normal,settle,10,499.117534,225,11065,507,0,0x0203909cdf3f51e199653fcb52dae3ace29eaa9ff2c0aa015f75807c046b3fec
IRPP-TD,3,-2,normal,publish,0,499.602265,289,16530,508,0,0xa8d3c94649e839f0cc75d3488a55b56d0c0ddd5c2ad7ed746fcfaf18730a722f
IRPP-TD,3,-2,normal,credential_refresh,1,503.591872,289,28384,509,0,0xe90e909e1e327afa90d9a0abc803618ab8c515df4ba472a063acc09322376e84
IRPP-TD,3,-2,normal,credential_refresh,2,500.606988,289,28384,510,0,0xbe9febb7fcc8127b99c430d61f81dcb5d6991721f5e977b73ced46bd32a72d7c
IRPP-TD,3,-2,normal,credential_refresh,3,500.510503,289,28384,511,0,0xd00ecc932cd0ad1a1145a82a699ebe28b53380ccabbcb50feebf633c581b1f34
IRPP-TD,3,-2,normal,input_close,4,502.472457,289,18625,512,0,0xde7ee6d956d62e877f526826cc24a3e267b54f8dbf1dea4c64ce1e627d9146d3
IRPP-TD,3,-2,normal,output_commit,5,500.311531,353,26849,513,0,0x683b6e29f189ca8b265d3aee351ddc1de339ef3442e4c227d37b5f2df2f56e41
IRPP-TD,3,-2,normal,settle,6,500.203874,225,13383,514,0,0x62cddbeea29d93a16cd35a2ae99d6dad6642b9025b574b624021ab0dc325710c
BSIF,3,-2,normal,publish,0,498.778973,609,76767,515,0,0x84b7708ba53a454924b38ea1b67d929a25680693fa77cb1257c6e4a978fdf08a
BSIF,3,-2,normal,encrypted_upload,1,500.252256,7651,1185200,516,0,0xee6a80fff8e96530256a86a3ab41d1bc0d0f7fb409fabfc1025da29a5cf7868b
BSIF,3,-2,normal,encrypted_upload,2,501.279603,7651,1185200,517,0,0x3bc830c5a101d19c25020a2db220fc5df14c61ba60d54a4924883a35da536054
BSIF,3,-2,normal,encrypted_upload,3,501.883520,7651,1185200,518,0,0x73bbaf775736e897f59cee2ad6fcd855787afb3d677949fe1a07fdd5a0e66e83
BSIF,3,-2,normal,quality_report,4,500.007030,225,18236,519,0,0x055380f57fb0cb5cde3a0697911bbb3a52b36cf292ade568236a6b52aabfcc68
BSIF,3,-2,normal,reputation_update,5,544.394839,88,7486,520,0,0x40d24d0435009a1d0143aec297b99ca075391741c152375195434d56be08093b
BSIF,3,-2,normal,reputation_update,6,502.829323,88,7486,521,0,0x2c697584ffef338f4a0017f1f21247afb737cbcdd3da04cee31851c610568150
BSIF,3,-2,normal,reputation_update,7,532.556186,88,7486,522,0,0xe5246d7e4dd65fa1968fdfd51c81b62ed353ced72e82791a383651d13463cb3f
BSIF,3,-2,normal,settle,8,517.610132,225,11065,523,0,0xf5c92cc18fa30731d17dc8caaf08b73aab41e46227b67748e0adde3192d32c8e
RPPS-TDC,3,-2,normal,publish,0,482.758756,609,76767,524,0,0xb3f6f0852c91f7482bb7324bb51deacf750e8c743d417451e47cebef44809735
RPPS-TDC,3,-2,normal,encrypted_upload,1,501.122249,7235,1119312,525,0,0x78a5bc6dc0beda5a1649c5275b6d1604797bfb9fa8127f5b14f8153616c3d0d1
RPPS-TDC,3,-2,normal,encrypted_upload,2,501.472526,7235,1119312,526,0,0xd7ec8be5b0fbb4064abc41a268f936b5b7706f887871b0765b8053550b12400c
RPPS-TDC,3,-2,normal,encrypted_upload,3,500.779686,7235,1119312,527,0,0x9370a79603c5a6a5f5897328b5256e0eebad485fd2f4698bdeb68c3d074edee7
RPPS-TDC,3,-2,normal,trust_update,4,502.116870,225,11089,528,0,0x9ece09d8296c52f3674bcc75f86910cb9cf5aaf7567d53d681947f712f33357a
RPPS-TDC,3,-2,normal,selection,5,499.852902,225,16125,529,0,0x46abd01f87572996feebfb711962616c0d9cb82b86366f34ee19200a67f40fc5
RPPS-TDC,3,-2,normal,result,6,501.099178,225,16102,530,0,0x20e2be2700f8e7bd4e83eaf7ac11257381771907efe3596d68bab873d403a2f8
RPPS-TDC,3,-2,normal,reputation_update,7,504.516614,88,7486,531,0,0x81cf741325d564998c0bf2be3384a7616a4a4dd52566265771c3ccc4f4849cd6
RPPS-TDC,3,-2,normal,reputation_update,8,497.668843,88,7486,532,0,0xf0b1c312264d933f87e12ca76636b9ad50dc8e7c89a43eada184ab63a75320ac
RPPS-TDC,3,-2,normal,reputation_update,9,535.623387,88,7486,533,0,0xec512467a1c7c2d7ff6f961dcc87a0987dd8d9d1ec844ca2ab269cb15fdb8c6e
RPPS-TDC,3,-2,normal,settle,10,466.290166,225,11065,534,0,0xdfe5e215fe21d7c6b4445561c01712c657a666bb7ecb644447de726f407471b0
IRPP-TD,3,-3,normal,publish,0,500.052800,289,16530,535,0,0x2b9112d1655f6a4cad7a986f398cbdb53c479f923f2695fb6eb5d1c6de9a63b0
IRPP-TD,3,-3,normal,credential_refresh,1,503.439893,289,28384,536,0,0xd929b6caf2082f48cb77a211836724d8f24132275327cfe9780b2e8b7597dc7e
IRPP-TD,3,-3,normal,credential_refresh,2,501.995022,289,28384,537,0,0x346bd52d63d48ed20f8f4eaf85fd98d9b816f125d39f64fd7995b158137a0673
IRPP-TD,3,-3,normal,credential_refresh,3,499.871527,289,28384,538,0,0x83290f0a7787dead22aa940d751a89d755f73f97e0d820799b7b962470513707
IRPP-TD,3,-3,normal,input_close,4,503.855354,289,18625,539,0,0xd2a4b59b58bd17c703c88c16dd89cccbbfb2618592ab934532e69e279e7af8f0
IRPP-TD,3,-3,normal,output_commit,5,502.606513,353,26849,540,0,0x102bc674783254ed7cde60c40f4ecf395a6f563151337d0f7e552ee5ffa94dc6
IRPP-TD,3,-3,normal,settle,6,499.922022,225,13383,541,0,0x9fc8dc644440bbd71e7a13e3280a33b5ee8d0e0f12937a42911f853d2bb303bf
BSIF,3,-3,normal,publish,0,498.460525,609,76767,542,0,0x76a9c1209b929289c26f3b864c679be2d1532d5ef890c1f4ff9eaa25c02d1ee1
BSIF,3,-3,normal,encrypted_upload,1,538.179187,7651,1185200,543,0,0xb8f77c2dab1a2a417964a53ff47bd36d32073c000f1fdd694d066780b3ff59d3
BSIF,3,-3,normal,encrypted_upload,2,466.805208,7651,1185200,544,0,0xf90fd9219e2f038db1737c68660587e1265e0e7d1272741fc1491d12f9e36d99
BSIF,3,-3,normal,encrypted_upload,3,501.599579,7651,1185200,545,0,0x2f1058e7b50528fd8e89b6f10683cb512d3bda6eebbab548a87b1ee364d253c4
