method,scene,target_workers,seed,mode,malicious_ratio,strength,malicious_retained,malicious_total,malicious_report_leakage
PRTD,Climate,27,20260831,onoff,0.3,0.5,315,315,1.0
QE,Climate,27,20260831,mature_anchor,0.3,0.5,476,476,1.0
PRTD,Climate,27,20260831,mature_anchor,0.3,0.5,476,476,1.0
QE,Climate,27,20260832,independent,0.3,0.5,644,644,1.0
PRTD,Climate,27,20260832,independent,0.3,0.5,644,644,1.0
QE,Climate,27,20260832,compact,0.3,0.5,644,644,1.0
PRTD,Climate,27,20260832,compact,0.3,0.5,644,644,1.0
QE,Climate,27,20260832,onoff,0.3,0.5,325,325,1.0
PRTD,Climate,27,20260832,onoff,0.3,0.5,325,325,1.0
QE,Climate,27,20260832,mature_anchor,0.3,0.5,486,486,1.0
PRTD,Climate,27,20260832,mature_anchor,0.3,0.5,486,486,1.0
QE,Climate,27,20260833,independent,0.3,0.5,647,647,1.0
PRTD,Climate,27,20260833,independent,0.3,0.5,647,647,1.0
QE,Climate,27,20260833,compact,0.3,0.5,647,647,1.0
PRTD,Climate,27,20260833,compact,0.3,0.5,647,647,1.0
QE,Climate,27,20260833,onoff,0.3,0.5,344,344,1.0
PRTD,Climate,27,20260833,onoff,0.3,0.5,344,344,1.0
QE,Climate,27,20260833,mature_anchor,0.3,0.5,499,499,1.0
PRTD,Climate,27,20260833,mature_anchor,0.3,0.5,499,499,1.0
QE,Climate,27,20260834,independent,0.3,0.5,625,625,1.0
PRTD,Climate,27,20260834,independent,0.3,0.5,625,625,1.0
QE,Climate,27,20260834,compact,0.3,0.5,625,625,1.0
PRTD,Climate,27,20260834,compact,0.3,0.5,625,625,1.0
QE,Climate,27,20260834,onoff,0.3,0.5,323,323,1.0
PRTD,Climate,27,20260834,onoff,0.3,0.5,323,323,1.0
QE,Climate,27,20260834,mature_anchor,0.3,0.5,465,465,1.0
PRTD,Climate,27,20260834,mature_anchor,0.3,0.5,465,465,1.0
QE,Climate,27,20260835,independent,0.3,0.5,636,636,1.0
PRTD,Climate,27,20260835,independent,0.3,0.5,636,636,1.0
QE,Climate,27,20260835,compact,0.3,0.5,636,636,1.0
PRTD,Climate,27,20260835,compact,0.3,0.5,636,636,1.0
QE,Climate,27,20260835,onoff,0.3,0.5,314,314,1.0
PRTD,Climate,27,20260835,onoff,0.3,0.5,314,314,1.0
QE,Climate,27,20260835,mature_anchor,0.3,0.5,473,473,1.0
PRTD,Climate,27,20260835,mature_anchor,0.3,0.5,473,473,1.0
QE,Climate,27,20260836,independent,0.3,0.5,655,655,1.0
PRTD,Climate,27,20260836,independent,0.3,0.5,655,655,1.0
QE,Climate,27,20260836,compact,0.3,0.5,655,655,1.0
PRTD,Climate,27,20260836,compact,0.3,0.5,655,655,1.0
QE,Climate,27,20260836,onoff,0.3,0.5,343,343,1.0
PRTD,Climate,27,20260836,onoff,0.3,0.5,343,343,1.0
QE,Climate,27,20260836,mature_anchor,0.3,0.5,487,487,1.0
PRTD,Climate,27,20260836,mature_anchor,0.3,0.5,487,487,1.0
QE,Climate,27,20260837,independent,0.3,0.5,633,633,1.0
PRTD,Climate,27,20260837,independent,0.3,0.5,633,633,1.0
QE,Climate,27,20260837,compact,0.3,0.5,633,633,1.0
PRTD,Climate,27,20260837,compact,0.3,0.5,633,633,1.0
QE,Climate,27,20260837,onoff,0.3,0.5,332,332,1.0
PRTD,Climate,27,20260837,onoff,0.3,0.5,332,332,1.0
QE,Climate,27,20260837,mature_anchor,0.3,0.5,466,466,1.0
PRTD,Climate,27,20260837,mature_anchor,0.3,0.5,466,466,1.0
QE,Traffic,27,20260808,independent,0.3,0.5,672,672,1.0
PRTD,Traffic,27,20260808,independent,0.3,0.5,672,672,1.0
QE,Traffic,27,20260808,compact,0.3,0.5,672,672,1.0
PRTD,Traffic,27,20260808,compact,0.3,0.5,672,672,1.0
QE,Traffic,27,20260808,onoff,0.3,0.5,331,331,1.0
PRTD,Traffic,27,20260808,onoff,0.3,0.5,331,331,1.0
QE,Traffic,27,20260808,mature_anchor,0.3,0.5,540,540,1.0
PRTD,Traffic,27,20260808,mature_anchor,0.3,0.5,540,540,1.0
QE,Traffic,27,20260809,independent,0.3,0.5,682,682,1.0
PRTD,Traffic,27,20260809,independent,0.3,0.5,682,682,1.0
QE,Traffic,27,20260809,compact,0.3,0.5,682,682,1.0
PRTD,Traffic,27,20260809,compact,0.3,0.5,682,682,1.0
QE,Traffic,27,20260809,onoff,0.3,0.5,338,338,1.0
PRTD,Traffic,27,20260809,onoff,0.3,0.5,338,338,1.0
QE,Traffic,27,20260809,mature_anchor,0.3,0.5,553,553,1.0
PRTD,Traffic,27,20260809,mature_anchor,0.3,0.5,553,553,1.0
QE,Traffic,27,20260810,independent,0.3,0.5,681,681,1.0
PRTD,Traffic,27,20260810,independent,0.3,0.5,681,681,1.0
QE,Traffic,27,20260810,compact,0.3,0.5,681,681,1.0
PRTD,Traffic,27,20260810,compact,0.3,0.5,681,681,1.0
QE,Traffic,27,20260810,onoff,0.3,0.5,327,327,1.0
PRTD,Traffic,27,20260810,onoff,0.3,0.5,327,327,1.0
QE,Traffic,27,20260810,mature_anchor,0.3,0.5,560,560,1.0
PRTD,Traffic,27,20260810,mature_anchor,0.3,0.5,560,560,1.0
QE,Traffic,27,20260811,independent,0.3,0.5,689,689,1.0
PRTD,Traffic,27,20260811,independent,0.3,0.5,689,689,1.0
QE,Traffic,27,20260811,compact,0.3,0.5,689,689,1.0
PRTD,Traffic,27,20260811,compact,0.3,0.5,689,689,1.0
QE,Traffic,27,20260811,onoff,0.3,0.5,324,324,1.0
PRTD,Traffic,27,20260811,onoff,0.3,0.5,324,324,1.0
QE,Traffic,27,20260811,mature_anchor,0.3,0.5,569,569,1.0
PRTD,Traffic,27,20260811,mature_anchor,0.3,0.5,569,569,1.0
QE,Traffic,27,20260812,independent,0.3,0.5,678,678,1.0
PRTD,Traffic,27,20260812,independent,0.3,0.5,678,678,1.0
QE,Traffic,27,20260812,compact,0.3,0.5,678,678,1.0
PRTD,Traffic,27,20260812,compact,0.3,0.5,678,678,1.0
QE,Traffic,27,20260812,onoff,0.3,0.5,331,331,1.0
PRTD,Traffic,27,20260812,onoff,0.3,0.5,331,331,1.0
QE,Traffic,27,20260812,mature_anchor,0.3,0.5,548,548,1.0
PRTD,Traffic,27,20260812,mature_anchor,0.3,0.5,548,548,1.0
QE,Traffic,27,20260813,independent,0.3,0.5,669,669,1.0
PRTD,Traffic,27,20260813,independent,0.3,0.5,669,669,1.0
QE,Traffic,27,20260813,compact,0.3,0.5,669,669,1.0
PRTD,Traffic,27,20260813,compact,0.3,0.5,669,669,1.0
QE,Traffic,27,20260813,onoff,0.3,0.5,316,316,1.0
PRTD,Traffic,27,20260813,onoff,0.3,0.5,316,316,1.0
QE,Traffic,27,20260813,mature_anchor,0.3,0.5,546,546,1.0
PRTD,Traffic,27,20260813,mature_anchor,0.3,0.5,546,546,1.0
QE,Traffic,27,20260814,independent,0.3,0.5,682,682,1.0
PRTD,Traffic,27,20260814,independent,0.3,0.5,682,682,1.0
QE,Traffic,27,20260814,compact,0.3,0.5,682,682,1.0
PRTD,Traffic,27,20260814,compact,0.3,0.5,682,682,1.0
QE,Traffic,27,20260814,onoff,0.3,0.5,333,333,1.0
PRTD,Traffic,27,20260814,onoff,0.3,0.5,333,333,1.0
QE,Traffic,27,20260814,mature_anchor,0.3,0.5,548,548,1.0
PRTD,Traffic,27,20260814,mature_anchor,0.3,0.5,548,548,1.0
QE,Traffic,27,20260815,independent,0.3,0.5,681,681,1.0
PRTD,Traffic,27,20260815,independent,0.3,0.5,681,681,1.0
QE,Traffic,27,20260815,compact,0.3,0.5,681,681,1.0
PRTD,Traffic,27,20260815,compact,0.3,0.5,681,681,1.0
QE,Traffic,27,20260815,onoff,0.3,0.5,308,308,1.0
PRTD,Traffic,27,20260815,onoff,0.3,0.5,308,308,1.0
QE,Traffic,27,20260815,mature_anchor,0.3,0.5,545,545,1.0
PRTD,Traffic,27,20260815,mature_anchor,0.3,0.5,545,545,1.0
QE,Traffic,27,20260816,independent,0.3,0.5,677,677,1.0
PRTD,Traffic,27,20260816,independent,0.3,0.5,677,677,1.0
QE,Traffic,27,20260816,compact,0.3,0.5,677,677,1.0
PRTD,Traffic,27,20260816,compact,0.3,0.5,677,677,1.0
QE,Traffic,27,20260816,onoff,0.3,0.5,313,313,1.0
PRTD,Traffic,27,20260816,onoff,0.3,0.5,313,313,1.0
QE,Traffic,27,20260816,mature_anchor,0.3,0.5,543,543,1.0
PRTD,Traffic,27,20260816,mature_anchor,0.3,0.5,543,543,1.0
QE,Traffic,27,20260817,independent,0.3,0.5,675,675,1.0
PRTD,Traffic,27,20260817,independent,0.3,0.5,675,675,1.0
QE,Traffic,27,20260817,compact,0.3,0.5,675,675,1.0
PRTD,Traffic,27,20260817,compact,0.3,0.5,675,675,1.0
QE,Traffic,27,20260817,onoff,0.3,0.5,331,331,1.0
PRTD,Traffic,27,20260817,onoff,0.3,0.5,331,331,1.0
QE,Traffic,27,20260817,mature_anchor,0.3,0.5,546,546,1.0
PRTD,Traffic,27,20260817,mature_anchor,0.3,0.5,546,546,1.0
QE,Traffic,27,20260818,independent,0.3,0.5,675,675,1.0
PRTD,Traffic,27,20260818,independent,0.3,0.5,675,675,1.0
QE,Traffic,27,20260818,compact,0.3,0.5,675,675,1.0
PRTD,Traffic,27,20260818,compact,0.3,0.5,675,675,1.0
QE,Traffic,27,20260818,onoff,0.3,0.5,326,326,1.0
PRTD,Traffic,27,20260818,onoff,0.3,0.5,326,326,1.0
QE,Traffic,27,20260818,mature_anchor,0.3,0.5,542,542,1.0
PRTD,Traffic,27,20260818,mature_anchor,0.3,0.5,542,542,1.0
QE,Traffic,27,20260819,independent,0.3,0.5,673,673,1.0
PRTD,Traffic,27,20260819,independent,0.3,0.5,673,673,1.0
QE,Traffic,27,20260819,compact,0.3,0.5,673,673,1.0
PRTD,Traffic,27,20260819,compact,0.3,0.5,673,673,1.0
QE,Traffic,27,20260819,onoff,0.3,0.5,343,343,1.0
PRTD,Traffic,27,20260819,onoff,0.3,0.5,343,343,1.0
QE,Traffic,27,20260819,mature_anchor,0.3,0.5,536,536,1.0
PRTD,Traffic,27,20260819,mature_anchor,0.3,0.5,536,536,1.0
