variant,block_end,scene,seed,ordinary_anchor_purity
All-Anchors,30,Traffic,20260837,0.6908212560386473
All-Anchors,30,Water,20260808,0.6870026525198939
All-Anchors,30,Water,20260809,0.7055702917771883
All-Anchors,30,Water,20260810,0.7161803713527851
All-Anchors,30,Water,20260811,0.7029177718832891
All-Anchors,30,Water,20260812,0.6976127320954907
All-Anchors,30,Water,20260813,0.726790450928382
All-Anchors,30,Water,20260814,0.6870026525198939
All-Anchors,30,Water,20260815,0.7214854111405835
All-Anchors,30,Water,20260816,0.6763925729442971
All-Anchors,30,Water,20260817,0.7320954907161804
All-Anchors,30,Water,20260818,0.7188328912466844
All-Anchors,30,Water,20260819,0.6790450928381963
All-Anchors,30,Water,20260820,0.6737400530503979
All-Anchors,30,Water,20260821,0.6843501326259946
All-Anchors,30,Water,20260822,0.6923076923076923
All-Anchors,30,Water,20260823,0.7347480106100795
All-Anchors,30,Water,20260824,0.7241379310344828
All-Anchors,30,Water,20260825,0.6737400530503979
All-Anchors,30,Water,20260826,0.7188328912466844
All-Anchors,30,Water,20260827,0.7294429708222812
All-Anchors,30,Water,20260828,0.6870026525198939
All-Anchors,30,Water,20260829,0.7029177718832891
All-Anchors,30,Water,20260830,0.6870026525198939
All-Anchors,30,Water,20260831,0.6816976127320955
All-Anchors,30,Water,20260832,0.7002652519893899
All-Anchors,30,Water,20260833,0.7029177718832891
All-Anchors,30,Water,20260834,0.7188328912466844
All-Anchors,30,Water,20260835,0.713527851458886
All-Anchors,30,Water,20260836,0.7029177718832891
All-Anchors,30,Water,20260837,0.6657824933687002
All-Anchors,40,Climate,20260808,0.7110266159695817
All-Anchors,40,Climate,20260809,0.714828897338403
All-Anchors,40,Climate,20260810,0.7072243346007605
All-Anchors,40,Climate,20260811,0.6958174904942965
All-Anchors,40,Climate,20260812,0.6730038022813688
All-Anchors,40,Climate,20260813,0.7224334600760456
All-Anchors,40,Climate,20260814,0.6806083650190115
All-Anchors,40,Climate,20260815,0.7110266159695817
All-Anchors,40,Climate,20260816,0.6958174904942965
All-Anchors,40,Climate,20260817,0.6615969581749049
All-Anchors,40,Climate,20260818,0.714828897338403
All-Anchors,40,Climate,20260819,0.6615969581749049
All-Anchors,40,Climate,20260820,0.752851711026616
All-Anchors,40,Climate,20260821,0.7224334600760456
All-Anchors,40,Climate,20260822,0.6730038022813688
All-Anchors,40,Climate,20260823,0.6768060836501901
All-Anchors,40,Climate,20260824,0.6958174904942965
All-Anchors,40,Climate,20260825,0.714828897338403
All-Anchors,40,Climate,20260826,0.6920152091254753
All-Anchors,40,Climate,20260827,0.6806083650190115
All-Anchors,40,Climate,20260828,0.688212927756654
All-Anchors,40,Climate,20260829,0.6844106463878327
All-Anchors,40,Climate,20260830,0.6692015209125475
All-Anchors,40,Climate,20260831,0.688212927756654
All-Anchors,40,Climate,20260832,0.6958174904942965
All-Anchors,40,Climate,20260833,0.7376425855513308
All-Anchors,40,Climate,20260834,0.6615969581749049
All-Anchors,40,Climate,20260835,0.6920152091254753
All-Anchors,40,Climate,20260836,0.7186311787072244
All-Anchors,40,Climate,20260837,0.6958174904942965
All-Anchors,40,Traffic,20260808,0.6960352422907489
All-Anchors,40,Traffic,20260809,0.7004405286343612
All-Anchors,40,Traffic,20260810,0.73568281938326
All-Anchors,40,Traffic,20260811,0.7180616740088106
All-Anchors,40,Traffic,20260812,0.7048458149779736
All-Anchors,40,Traffic,20260813,0.7180616740088106
All-Anchors,40,Traffic,20260814,0.6651982378854625
