method,target_workers,malicious_ratio,nrmse,nrmse_ci_low,nrmse_ci_high,seeds,no_truth_rate,no_truth_rate_ci_low,no_truth_rate_ci_high
PRTD,39,0.5,0.30611988836037884,0.30350935150153874,0.30817701240527695,30,0.0,0.0,0.0
PRTD,39,0.6,0.4409616137177135,0.43951070687794147,0.4424000697374467,30,0.0,0.0,0.0
PRTD,39,0.7,0.47423065954493165,0.47380928599454225,0.474662094008983,30,0.0,0.0,0.0
PRTD,39,0.8,0.48766207432200354,0.4874255751725229,0.4878756508758123,30,0.0,0.0,0.0
QE,27,0.0,0.0010701261609959223,0.0010578518645415714,0.001082370279741673,30,0.0,0.0,0.0
QE,27,0.1,0.053562964789836354,0.053226269400820536,0.05386858699804018,30,0.0,0.0,0.0
QE,27,0.2,0.10037977338973963,0.0999104967754505,0.10084238308042812,30,0.0,0.0,0.0
QE,27,0.3,0.1476909700912547,0.14719084801269197,0.14817965627771978,30,0.0,0.0,0.0
QE,27,0.4,0.19757224700105983,0.1970039557110491,0.19812044756680486,30,0.0,0.0,0.0
QE,27,0.5,0.25393714330279094,0.25348090278564445,0.2543822750442238,30,0.0,0.0,0.0
QE,27,0.6,0.30967927524988437,0.30911061334566403,0.3102514299874793,30,0.0,0.0,0.0
QE,27,0.7,0.35912302778729077,0.3585567489737795,0.3596747202544376,30,0.0,0.0,0.0
QE,27,0.8,0.40638223728502126,0.4059403031956752,0.4068466645858321,30,0.0,0.0,0.0
QE,39,0.0,0.0008772172272961854,0.0008689456892596475,0.0008857603249701935,30,0.0,0.0,0.0
QE,39,0.1,0.05173611263308654,0.05144118992598328,0.05203484256595348,30,0.0,0.0,0.0
QE,39,0.2,0.09964385903910673,0.09926753623240556,0.10002734038669868,30,0.0,0.0,0.0
QE,39,0.3,0.14717724863382003,0.14672196355082615,0.1476096513184074,30,0.0,0.0,0.0
QE,39,0.4,0.1959873509823594,0.19545423718085897,0.19652891509315212,30,0.0,0.0,0.0
QE,39,0.5,0.25201240378317263,0.2514829247148626,0.25252526449443446,30,0.0,0.0,0.0
QE,39,0.6,0.30768869254121706,0.30718091497088074,0.30813951924233884,30,0.0,0.0,0.0
QE,39,0.7,0.35652754518354385,0.3561397588342143,0.35692932705716557,30,0.0,0.0,0.0
QE,39,0.8,0.40449465019369085,0.4041299909294939,0.4048510613775172,30,0.0,0.0,0.0
