method,mode,scene,seed,honest_report_acceptance
PRTD,compact,Climate,20260830,0.9986550100874243
PRTD,compact,Climate,20260831,0.9973136333109469
PRTD,compact,Climate,20260832,1.0
PRTD,compact,Climate,20260833,0.9986568166554735
PRTD,compact,Climate,20260834,1.0
PRTD,compact,Climate,20260835,1.0
PRTD,compact,Climate,20260836,1.0
PRTD,compact,Climate,20260837,1.0
PRTD,compact,Traffic,20260808,1.0
PRTD,compact,Traffic,20260809,0.998085513720485
PRTD,compact,Traffic,20260810,0.9974489795918368
PRTD,compact,Traffic,20260811,0.9993589743589744
PRTD,compact,Traffic,20260812,1.0
PRTD,compact,Traffic,20260813,0.9981012658227848
PRTD,compact,Traffic,20260814,0.9993618379068283
PRTD,compact,Traffic,20260815,0.9993622448979592
PRTD,compact,Traffic,20260816,0.9987277353689568
PRTD,compact,Traffic,20260817,0.9987293519695044
PRTD,compact,Traffic,20260818,0.9980940279542567
PRTD,compact,Traffic,20260819,0.9974619289340102
PRTD,compact,Traffic,20260820,0.998108448928121
PRTD,compact,Traffic,20260821,0.9980964467005076
PRTD,compact,Traffic,20260822,0.9987357774968394
PRTD,compact,Traffic,20260823,0.9993678887484198
PRTD,compact,Traffic,20260824,1.0
PRTD,compact,Traffic,20260825,1.0
PRTD,compact,Traffic,20260826,0.9993646759847522
PRTD,compact,Traffic,20260827,1.0
PRTD,compact,Traffic,20260828,0.998085513720485
PRTD,compact,Traffic,20260829,1.0
PRTD,compact,Traffic,20260830,1.0
PRTD,compact,Traffic,20260831,0.9980916030534351
PRTD,compact,Traffic,20260832,0.9980842911877394
PRTD,compact,Traffic,20260833,0.9993618379068283
PRTD,compact,Traffic,20260834,0.9993658845909955
PRTD,compact,Traffic,20260835,0.9981143934632307
PRTD,compact,Traffic,20260836,1.0
PRTD,compact,Traffic,20260837,1.0
PRTD,compact,Water,20260808,0.9987154784842646
PRTD,compact,Water,20260809,0.9993638676844784
PRTD,compact,Water,20260810,1.0
PRTD,compact,Water,20260811,1.0
PRTD,compact,Water,20260812,0.9993654822335025
PRTD,compact,Water,20260813,0.9993626513702996
PRTD,compact,Water,20260814,0.9987373737373737
PRTD,compact,Water,20260815,1.0
PRTD,compact,Water,20260816,1.0
PRTD,compact,Water,20260817,0.9981012658227848
