workload,scene,target_workers,seed,target_acceptance,qe_radius,qe_clean_acceptance,prtd_relative_weight,prtd_clean_acceptance
Water_n39,Water,39,20260829,0.96,0.0248225576679741,0.9611111111111112,0.1014672836392144,0.9597222222222224
Water_n39,Water,39,20260835,0.96,0.0243504447279157,0.9611111111111112,0.0874952212303871,0.9597222222222224
Climate_n27,Climate,27,20260812,0.96,0.0348860821210916,0.960144927536232,0.0619812338773006,0.9583333333333334
Climate_n27,Climate,27,20260818,0.96,0.0343929980645185,0.960144927536232,0.0355496431652382,0.9583333333333334
Climate_n27,Climate,27,20260824,0.96,0.0323037913354953,0.960144927536232,0.0779116966030293,0.9583333333333334
Climate_n27,Climate,27,20260830,0.96,0.0335749291120563,0.960144927536232,0.0462155241269962,0.9583333333333334
Climate_n27,Climate,27,20260836,0.96,0.0342739465394731,0.960144927536232,0.071466023606965,0.9583333333333334
Climate_n39,Climate,39,20260812,0.96,0.0351990456474065,0.9604449938195304,0.1420091335378852,0.9592088998763906
Climate_n39,Climate,39,20260818,0.96,0.0347545207306656,0.9604449938195304,0.2206999078498816,0.9592088998763906
Climate_n39,Climate,39,20260824,0.96,0.0344222615378458,0.9604449938195304,0.2059179926914985,0.9592088998763906
Climate_n39,Climate,39,20260830,0.96,0.0354580551173413,0.9604449938195304,0.1715630233926251,0.9592088998763906
Climate_n39,Climate,39,20260836,0.96,0.0332094774294703,0.9604449938195304,0.1875815949508491,0.9592088998763906
Traffic_n27,Traffic,27,20260812,0.96,0.0122669166867877,0.9606164383561644,0.0470351594041984,0.958904109589041
Traffic_n27,Traffic,27,20260818,0.96,0.0119267802533001,0.9606164383561644,0.0988620387999912,0.958904109589041
Traffic_n27,Traffic,27,20260824,0.96,0.0113889711853366,0.9606164383561644,0.0714691374688056,0.958904109589041
Traffic_n27,Traffic,27,20260830,0.96,0.0114504014036891,0.9606164383561644,0.0294126050976666,0.958904109589041
Traffic_n27,Traffic,27,20260836,0.96,0.0125261787982574,0.9606164383561644,0.0668752558435969,0.958904109589041
Traffic_n39,Traffic,39,20260812,0.96,0.0109445501934957,0.9610027855153204,0.1299177807243987,0.9596100278551531
Traffic_n39,Traffic,39,20260818,0.96,0.010206791018193,0.9610027855153204,0.1370308659463633,0.9596100278551531
Traffic_n39,Traffic,39,20260824,0.96,0.0108132510905163,0.9610027855153204,0.0876402200944352,0.9596100278551531
Traffic_n39,Traffic,39,20260830,0.96,0.0103224232959964,0.9610027855153204,0.1381519757071258,0.9596100278551531
Traffic_n39,Traffic,39,20260836,0.96,0.01047175827528,0.9610027855153204,0.1629657372909684,0.9596100278551531
Water_n27,Water,27,20260812,0.96,0.0252887651713023,0.9600840336134454,0.020170280082899,0.957983193277311
Water_n27,Water,27,20260818,0.96,0.0249099417780991,0.9600840336134454,0.0253707559841136,0.957983193277311
Water_n27,Water,27,20260824,0.96,0.0245937120129757,0.9600840336134454,0.0376946919637679,0.957983193277311
