mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio,malicious_report_leakage,honest_false_low_rate
onoff,Traffic,20260829,40,0,0.05958263049358665,3116247.678689809,2.064873726966905,10345.453210577347,240,0.01575629907021139,113.94895931018503,0.00860364052902877,43.10605504407228,0.0,0.0003685967922217009,42.74670697821593,0.2459546925566343,0.040455120101137804
onoff,Traffic,20260830,40,0,3.2399846741230904,170680490.21755838,10.8050758628221,54170.14180937115,240,0.11618922558559182,843.3081935092453,0.04502114942842542,225.70892420571312,0.0,0.00033003016393016006,352.05638236806567,0.3394495412844037,0.06727037516170763
onoff,Traffic,20260831,40,0,0.44507592423354975,23205234.262046702,5.246430317366908,26217.695267875926,240,0.0430637088235534,310.9477063621169,0.021860126322362117,109.24039694948303,0.0,0.00033019974598138234,130.4171470379673,0.2890855457227139,0.08278580814717477
onoff,Traffic,20260832,40,0,3.883111130968574,203278256.08388883,12.239424100134915,61216.28085826707,240,0.1271991733949913,920.3220814925991,0.05099760041722881,255.06783690944613,0.0,0.00040860690821279305,311.2996154454366,0.3353115727002967,0.07077326343381389
onoff,Traffic,20260833,40,0,0.5140274903849538,26922765.647057224,4.902167086122702,24588.69614870895,240,0.04627938212570807,334.93012733415276,0.020425696192177926,102.45290061962062,0.0,0.00040300423190571256,114.83597059729055,0.2920353982300885,0.06307490144546649
onoff,Traffic,20260834,40,0,0.21854246552540735,11582772.066402772,4.599302831536351,23106.6706128378,240,0.030176043583542624,219.68511619287779,0.019163761798068127,96.2777942201575,0.0,0.00036081427769383526,83.63317487438275,0.3723076923076923,0.06451612903225806
onoff,Traffic,20260835,40,0,1.320466052806801,69388854.33533947,5.7312182973154275,28636.4476488015,240,0.07417507591297096,537.6990109691925,0.02388007623881428,119.31853187000624,0.0,0.0004542533912839944,163.29008728654154,0.34967320261437906,0.05793450881612091
onoff,Traffic,20260836,40,0,0.14921153683815963,7813684.517113949,3.918500363539047,19632.641112085796,240,0.024934208165202785,180.4356362288451,0.016327084848079362,81.80267130035749,0.0,0.0003923487077244303,63.55114130442237,0.3507692307692308,0.04903225806451613
onoff,Traffic,20260837,40,0,1.3850708918149892,72532964.69125949,7.089384040118035,35479.14039261994,240,0.07596794531837614,549.746019734187,0.02953910016715848,147.82975163591644,0.0,0.00037284506566150744,203.7520469356156,0.3293051359516616,0.06762028608582575
onoff,Water,20260808,40,0,0.016578928874380193,82571.4038959281,1.0389390353540937,1150.023131380576,360,0.0067862051403278145,15.144801445447296,0.0028859417648724826,3.194508698279378,0.0,0.0012471947667047623,5.441175124762414,0.06301369863013699,0.0037359900373599006
onoff,Water,20260809,40,0,0.01842843800739784,77743.28928664477,1.0220822799687572,1016.3679563954298,360,0.0071547261007047025,14.69535917736586,0.002839117444357659,2.8232443233206386,0.0,0.001025993955634831,6.97345833414558,0.08333333333333333,0.003658536585365854
onoff,Water,20260810,40,0,0.08295133556200657,258009.12354948441,2.707872257714932,2088.6792758138176,360,0.015179603965885583,26.771104008981006,0.007521867382541478,5.801886877260604,0.0,0.0011583794332243268,13.104172545288938,0.1936416184971098,0.02068126520681265
onoff,Water,20260811,40,0,0.02805792445004999,86249.26825234763,1.5997046561346306,1385.940171523734,360,0.00882828856732247,15.478414024084174,0.004443624044818418,3.84983380978815,0.0,0.0011986134187057429,7.365417764849667,0.11174785100286533,0.01221001221001221
onoff,Water,20260812,40,0,0.015393796355709574,56316.128852303846,1.1054025500494793,1015.3839749997077,360,0.006539154794965982,12.507345492005872,0.003070562639026331,2.8205110416658545,0.0,0.0011607667509016507,5.633478724202388,0.09510086455331412,0.00243605359317905
onoff,Water,20260813,40,0,0.01586924722632276,69868.08086199901,1.0793058040536518,1115.307465834457,360,0.00663937062494187,13.931188118550468,0.0029980716779268108,3.0980762939846027,0.0,0.001054919741854871,6.293721087509302,0.08959537572254335,0.009732360097323601
onoff,Water,20260814,40,0,0.028296503995283093,121437.75965441726,1.178504368196379,1177.639418321452,360,0.008865743058926165,18.366467002424802,0.0032736232449899413,3.2712206064484777,0.0,0.0011254257171310572,7.877679462956273,0.06571428571428571,0.004889975550122249
onoff,Water,20260815,40,0,0.06189995553792896,180834.1662437468,1.8311514607172015,1469.2054827869702,360,0.013112754132473146,22.41243245287874,0.00508653183532556,4.081126341074917,0.0,0.0011177495239653604,11.731388697848837,0.1359773371104816,0.014723926380368098
onoff,Water,20260816,40,0,0.01239831477119707,53273.460890133974,0.9073851380108577,911.2381751111418,360,0.005868540129651087,12.164778493911335,0.0025205142722523827,2.531217153086505,0.0,0.0011161330159437544,5.25792181202426,0.06111111111111111,0.0037128712871287127
onoff,Water,20260817,40,0,0.04506151716558326,179888.83474014714,1.4958925344275675,1468.2986136300228,360,0.011187979308861321,22.353773900876778,0.0041552570400765765,4.0786072600833965,0.0,0.0010325784630706807,10.834991924575418,0.13149847094801223,0.0178359096313912
onoff,Water,20260818,40,0,0.011259445371049438,50582.445364688014,0.9576616635288429,948.1335064948028,360,0.005592516172690428,11.853556119565509,0.0026601712875801192,2.6337041847077853,0.0,0.0011280432668052055,4.957714244888236,0.07777777777777778,0.0012376237623762376
onoff,Water,20260819,40,0,1.7530404904765915,5524686.825149303,7.537496448649016,5403.690318144176,360,0.06978221061266641,123.88039510786764,0.020937490135136155,15.010250883733821,0.0,0.0011220849614773164,62.1897744006768,0.2334293948126801,0.03288672350791717
onoff,Water,20260820,40,0,0.021902147930624755,90781.77388669053,1.2306782825924893,1270.011831580338,360,0.007799955115722845,15.879911653711929,0.003418550784979137,3.5278106432787166,0.0,0.0011057184768809502,7.054196234221603,0.10826210826210826,0.0036719706242350062
onoff,Water,20260821,40,0,0.018477483717740682,65183.17265288702,1.014831596911253,951.7316632255605,360,0.007164240619939477,13.456016070153963,0.0028189766580868137,2.6436990645154457,0.0,0.0012523518075141977,5.720629440508279,0.07242339832869081,0.003708281829419036
onoff,Water,20260822,40,0,0.010181048148236858,55256.6918579673,0.7360545031876524,897.0751431255176,360,0.005317959129276751,12.389140838515631,0.0020445958421879233,2.4918753975708823,0.0,0.0011024475258086172,4.823775286153564,0.053824362606232294,0.001226993865030675
onoff,Water,20260823,40,0,0.0072848140271996285,47490.532678520176,0.7500903687160422,1030.7187497920129,360,0.004498399106348721,11.48556251688278,0.0020835843575445615,2.863107638311147,0.0,0.0010894401928846467,4.1290922950416835,0.05,0.0012376237623762376
onoff,Water,20260824,40,0,0.0642372900068935,186147.54008704782,1.9666314104923066,1526.2958714420517,360,0.013358028173567208,22.739316177972448,0.005462865029145296,4.239710754005699,0.0,0.0011569681548395283,11.545718106147847,0.1348314606741573,0.0049261083743842365
onoff,Water,20260825,40,0,0.2005168935848928,638027.6726190896,2.5627470711172715,2086.610338267928,360,0.023600664631936677,42.098682765718245,0.007118741864214643,5.796139828522022,0.0,0.0011301889468149934,20.882052243075062,0.14520547945205478,0.008717310087173101
onoff,Water,20260826,40,0,0.022034533692503452,63767.39300630775,1.2103160831679842,1002.0645166871817,360,0.007823492700497127,13.309081382264658,0.0033619891199110673,2.7835125463532826,0.0,0.001155773678978435,6.769052490806119,0.09803921568627451,0.008631319358816275
onoff,Water,20260827,40,0,0.04031204486951001,144314.87271763876,1.244032813634167,1194.7179696369635,360,0.010581961180013163,20.021854220772997,0.003455646704539353,3.3186610267693433,0.0,0.0011453400739820107,9.239143395395915,0.09523809523809523,0.006009615384615385
onoff,Water,20260828,40,0,0.003705019682589881,21091.68309536276,0.7055326945291202,727.4065650512708,360,0.0032080712804623663,7.65428041021688,0.0019598130403586673,2.0205737918090856,0.0,0.0011365601275886298,2.822614662075763,0.0547945205479452,0.0024906600249066002
onoff,Water,20260829,40,0,2.026290292438828,5827032.526838399,6.938868245255124,5042.915825020379,360,0.075023890499383,127.22500329510704,0.019274634014597565,14.008099513945497,0.0,0.0011596462965130661,64.69549441495387,0.21264367816091953,0.03170731707317073
onoff,Water,20260830,40,0,0.005814787625685606,32772.15066925982,0.7329488156112421,837.6628469904293,360,0.004018978458405404,9.541160928265231,0.00203596893225345,2.3268412416400817,0.0,0.0011476324175877146,3.5019736257129823,0.04481792717086835,0.0012330456226880395
onoff,Water,20260831,40,0,0.03591692638472178,141539.05900326063,1.1439786442989743,1115.8647292446149,360,0.009988455333912271,19.828364854088072,0.00317771845638604,3.099624247901708,0.0,0.0011321800770454449,8.822320350291186,0.06628242074927954,0.0
