malicious_ratio,strength,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio
0.1,0.25,Climate,20260816,60,0,0.0012278811005765214,78.18148683233368,0.4311082095562752,93.42951535081154,300,0.002023100838297918,0.5104948149665958,0.001437027365187584,0.31143171783603846,0.0,0.0018821492578466937,1.0748886305714576
0.1,0.25,Climate,20260817,60,0,0.0014234147135505383,76.23418189496982,0.4578653063890508,94.79686176081486,300,0.002178236835570257,0.5040971529872981,0.0015262176879635026,0.3159895392027162,0.0,0.0019305412780958812,1.1283036836791605
0.1,0.25,Climate,20260818,60,0,0.0014520879050022525,91.89783630727793,0.4789482007995684,103.34003711233333,300,0.0022000665936907854,0.5534673622032827,0.001596494002665228,0.34446679037444444,0.0,0.002008796281276158,1.095216381171871
0.1,0.25,Climate,20260819,60,0,0.002043017689802456,116.8066458983882,0.4982044247534521,107.69737204449973,300,0.002609608968027238,0.6239835625462906,0.0016606814158448403,0.35899124014833245,0.0,0.0019169204949070432,1.3613548266402071
0.1,0.25,Climate,20260820,60,0,0.0013083161224994862,83.43188544177526,0.4436769621885126,98.12307651068471,300,0.002088313611904341,0.5273578337390253,0.001478923207295042,0.32707692170228236,0.0,0.0019648719375540695,1.062824284876263
0.1,0.25,Climate,20260821,60,0,0.0019472107556332723,123.18249066003254,0.5066201002698426,110.63051642320974,300,0.00254768571821125,0.6407872519019931,0.0016887336675661421,0.3687683880773658,0.0,0.0021593348799337398,1.1798474344514025
0.1,0.25,Climate,20260822,60,0,0.0015552115486947564,86.19355917215593,0.4735359351355293,97.45646407759348,300,0.002276848369050778,0.5360147982166038,0.001578453117118431,0.32485488025864495,0.0,0.0019865499826261595,1.14613193172258
0.1,0.25,Climate,20260823,60,0,0.0012328203384520064,79.2327795372847,0.4412051491886519,94.14212759042539,300,0.0020271657870468696,0.5139156206268519,0.0014706838306288396,0.31380709196808465,0.0,0.0019267314811630264,1.05212677888214
0.1,0.25,Climate,20260824,60,0,0.0013335344372911652,84.66314389136546,0.4469972652176159,93.86257665345687,300,0.00210834408742277,0.5312348629729462,0.0014899908840587197,0.3128752555115229,0.0,0.0018990275101834358,1.1102230357995788
0.1,0.25,Climate,20260825,60,0,0.0012979713493019556,71.04741348349653,0.4516572517072492,90.71171069300647,300,0.0020800411448670558,0.4866463927860301,0.0015055241723574973,0.30237236897668823,0.0,0.0019442458044874457,1.0698447388011256
0.1,0.25,Climate,20260826,60,0,0.001500510480696384,77.08052591973363,0.4622637723386275,93.49698711342549,300,0.002236448434979282,0.5068876467217485,0.0015408792411287582,0.3116566237114183,0.0,0.0019527758397547238,1.145266338024844
