method,mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
PRTD,clean,Climate,20260829,80,0,0.0018733535739413072,115.04918784780935,0.6033871913713682,129.0171624597132,400,0.002164112736170015,0.5363049222406255,0.0015084679784284204,0.322542906149283,0.0
PRTD,clean,Climate,20260830,80,0,0.002121751079823259,125.94921886647448,0.6536598672362008,138.2176358740812,400,0.002303123465982262,0.5611354980449786,0.001634149668090502,0.345544089685203,0.0
PRTD,clean,Climate,20260831,80,0,0.0019713400124488226,136.72341790760328,0.637727237436935,139.7719457552662,400,0.0022199887457196843,0.5846439470045065,0.0015943180935923376,0.3494298643881655,0.0
PRTD,clean,Climate,20260832,80,0,0.0021117111402703635,128.5899609447752,0.6409709789130742,136.4603346046851,400,0.0022976679156649048,0.5669875680841142,0.0016024274472826855,0.34115083651171274,0.0
PRTD,clean,Climate,20260833,80,0,0.0018700824694253837,115.26787914213304,0.6212188223823042,131.10779872339612,400,0.00216222250787551,0.5368143979583004,0.0015530470559557605,0.32776949680849027,0.0
PRTD,clean,Climate,20260834,80,0,0.001747847991412662,110.51754897378602,0.6075379146373902,130.87284236623856,400,0.0020903635995997575,0.5256366353617916,0.0015188447865934753,0.3271821059155964,0.0
PRTD,clean,Climate,20260835,80,0,0.001842659699893963,124.25530121290292,0.6221280156024761,138.0530309822636,400,0.0021463106135261286,0.557349309708245,0.0015553200390061902,0.345132577455659,0.0
PRTD,clean,Climate,20260836,80,0,0.0018154708736854213,109.93427177854122,0.6064264694132305,126.7019709385932,400,0.0021304171385467105,0.524247727173283,0.0015160661735330763,0.31675492734648303,0.0
PRTD,clean,Climate,20260837,80,0,0.001554306579023446,110.99619745087112,0.561696738827191,124.75042256639993,400,0.0019712347520167697,0.5267736645155847,0.0014042418470679775,0.31187605641599986,0.0
PRTD,clean,Traffic,20260808,80,0,5.58399839913786e-05,2364.6707781718524,0.09836653004941946,469.5300862058773,480,0.00034107667756977866,2.219548930419127,0.00020493027093629055,0.9781876795955777,0.0
PRTD,clean,Traffic,20260809,80,0,7.617594824893061e-05,5560.578454145532,0.10467246784580608,547.8504616823737,480,0.00039837155042155324,3.40360668205604,0.00021806764134542933,1.1413551285049452,0.0
PRTD,clean,Traffic,20260810,80,0,7.477503826497431e-05,3912.7613598862104,0.11022280283732964,528.8534178838202,480,0.00039469143608481867,2.8550982761421024,0.00022963083924443676,1.1017779539246253,0.0
PRTD,clean,Traffic,20260811,80,0,7.937695104032286e-05,4731.451765072725,0.11007333650409391,555.1265173712719,480,0.0004066554413759548,3.139616406065372,0.00022931945105019567,1.1565135778568165,0.0
PRTD,clean,Traffic,20260812,80,0,5.990382143448766e-05,2898.553584401114,0.10599610321023548,489.4000180122806,480,0.0003532699081276467,2.457367148155858,0.00022082521502132392,1.019583370858918,0.0
PRTD,clean,Traffic,20260813,80,0,8.701665284542694e-05,4914.591866577706,0.11552768309292724,585.5405941301593,480,0.0004257754025633383,3.199802033778062,0.00024068267311026507,1.2198762377711652,0.0
PRTD,clean,Traffic,20260814,80,0,7.513630358924529e-05,5047.439090798643,0.11013801713032433,552.2564430705442,480,0.0003956437359682669,3.2427608770661007,0.00022945420235484236,1.150534256396967,0.0
PRTD,clean,Traffic,20260815,80,0,6.079255139034554e-05,3297.5061016387554,0.10015123435497074,500.2758708151059,480,0.00035588080691417815,2.6210311670054733,0.00020864840490618903,1.0422413975314706,0.0
PRTD,clean,Traffic,20260816,80,0,6.120605473404694e-05,3513.8217725819827,0.09635540309486776,491.4734054600862,480,0.0003570890841642523,2.705635235247439,0.00020074042311430784,1.0239029280418463,0.0
PRTD,clean,Traffic,20260817,80,0,7.504610013524787e-05,5861.060957805459,0.10430869006403388,579.6479536870455,480,0.0003954061733817937,3.4943588341918614,0.00021730977096673726,1.207599903514678,0.0
PRTD,clean,Traffic,20260818,80,0,6.463584135518641e-05,4929.131509377599,0.09879758507824073,530.8424024353242,480,0.00036695776708404066,3.204531787620463,0.00020582830224633483,1.1059216717402587,0.0
PRTD,clean,Traffic,20260819,80,0,7.567120746003796e-05,4163.650463687406,0.11163801944540955,570.20418558441,480,0.0003970495546843984,2.945211673097328,0.00023257920717793655,1.1879253866341875,0.0
PRTD,clean,Traffic,20260820,80,0,7.332256932306324e-05,4631.258865461336,0.10286489707170689,559.2118458324776,480,0.0003908392927487994,3.106196382991764,0.00021430186889938934,1.1650246788176617,0.0
