protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run
RPPS-TDC,10,9,256,2026181019,normal,2793.333743,0.0,2793.333743,1817.132209,193.260737,729.359659,53.219622,0.0,479.232081,2314.101662,158184,6912.0,8,8,True,19
IRPP-TD,10,9,256,2026181020,normal,12.294892,0.0,12.294892,7.738611,0.550552,3.907499,0.0,0.0,1.877523,10.417369,86220,1568.0,6,10,True,20
BSIF,10,9,256,2026181020,normal,2488.466333,0.0,2488.466333,1824.260364,520.845551,143.237893,0.0,0.0,0.084095,2488.3822379999997,132272,7324.0,1,7,True,20
RPPS-TDC,10,9,256,2026181020,normal,2803.105781,0.0,2803.105781,1817.02044,194.583332,737.100981,54.048092,0.0,484.460376,2318.645405,158184,6912.0,8,8,True,20
PRTD,10,9,256,2026181020,normal,6217.750124,0.0,6217.750124,3588.882687,1739.806514,847.523567,40.489891,0.0,380.777097,5836.973027,206540,7808.0,8,10,True,20
BSIF,10,9,256,2026181021,normal,2479.829451,0.0,2479.829451,1815.350504,521.248932,143.154948,0.0,0.0,0.080786,2479.748665,132272,7324.0,1,7,True,21
RPPS-TDC,10,9,256,2026181021,normal,2776.273597,0.0,2776.273597,1814.864411,190.569737,717.983162,52.524175,0.0,471.404073,2304.8695239999997,158184,6912.0,8,8,True,21
PRTD,10,9,256,2026181021,normal,6143.186699,0.0,6143.186699,3520.497731,1734.021845,847.208949,40.497725,0.0,381.478633,5761.708066,206540,7808.0,8,10,True,21
IRPP-TD,10,9,256,2026181021,normal,11.949251,0.0,11.949251,7.174297,0.561359,4.102675,0.0,0.0,2.212167,9.737084,86220,1568.0,6,10,True,21
RPPS-TDC,10,9,256,2026181022,normal,2795.052269,0.0,2795.052269,1825.570249,191.859195,724.501298,52.750219,0.0,475.659028,2319.3932409999998,158184,6912.0,8,8,True,22
PRTD,10,9,256,2026181022,normal,6175.457422,0.0,6175.457422,3545.958491,1738.445798,849.873444,40.186373,0.0,382.393285,5793.064137,206540,7808.0,8,10,True,22
IRPP-TD,10,9,256,2026181022,normal,11.826021,0.0,11.826021,7.522835,0.545064,3.66074,0.0,0.0,1.836149,9.989872,86220,1568.0,6,10,True,22
