run,seed,n,fault,policy,audit_triggered,detected,corrected,bad_finalized,honest_votes,audit_reexecution_ms,correct_digest,submitted_digest
2,2035581002,27,aggregate,delayed_challenge,True,True,True,False,5,8.370747,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,21bcda1c7239ce88e8d7f8dc88bc4ecb172f8d88c9d50a05c6dc228eb6ef2cb1
2,2035581002,27,payment,no_trigger,False,False,False,True,0,0.000128,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,8d352e1f2c0949a2831a2a236c3549cd9122d884b70cef1f68a0f33eceef331d
2,2035581002,27,payment,proactive,True,True,True,False,5,8.242942,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,8d352e1f2c0949a2831a2a236c3549cd9122d884b70cef1f68a0f33eceef331d
2,2035581002,27,payment,timely_challenge,True,True,True,False,5,8.491095,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,8d352e1f2c0949a2831a2a236c3549cd9122d884b70cef1f68a0f33eceef331d
2,2035581002,27,payment,delayed_challenge,True,True,True,False,5,8.331998,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,8d352e1f2c0949a2831a2a236c3549cd9122d884b70cef1f68a0f33eceef331d
2,2035581002,27,missing_package,no_trigger,False,False,False,True,0,0.000128,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,MISSING
2,2035581002,27,missing_package,proactive,True,True,True,False,5,0.000876,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,MISSING
2,2035581002,27,missing_package,timely_challenge,True,True,True,False,5,0.000406,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,MISSING
2,2035581002,27,missing_package,delayed_challenge,True,True,True,False,5,0.00031,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,MISSING
3,2035581003,27,label,no_trigger,False,False,False,True,0,0.000246,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,59f5f75cdb3ed940b576e1ca32c5e826b28968fa2c3a6f27bef61b6efc01e5e2
