scenario,trial,nrmse,angular_available,retained_rate
context-partitioned,94,0.008629011283254334,1.0,1.0
single-regime,95,0.00868175900189653,1.0,0.975
unpartitioned-two-regime,95,0.1647969414413487,1.0,1.0
context-partitioned,95,0.009977089887473827,1.0,1.0
single-regime,96,0.005051948409837905,1.0,1.0
unpartitioned-two-regime,96,0.1663899665893214,1.0,1.0
context-partitioned,96,0.009026717509429691,1.0,1.0
single-regime,97,0.006305631751644656,1.0,1.0
unpartitioned-two-regime,97,0.16560517928811738,1.0,1.0
context-partitioned,97,0.008276095427270508,1.0,1.0
single-regime,98,0.007784300371195611,1.0,1.0
unpartitioned-two-regime,98,0.1662632327547057,1.0,1.0
context-partitioned,98,0.009431894149697879,1.0,1.0
single-regime,99,0.005937644862880751,1.0,1.0
unpartitioned-two-regime,99,0.16672068491622757,1.0,1.0
context-partitioned,99,0.00989257242031694,1.0,1.0
single-regime,100,0.005138322756343409,1.0,1.0
unpartitioned-two-regime,100,0.14869522453498432,1.0,0.975
context-partitioned,100,0.009212031386251766,1.0,1.0
single-regime,101,0.004017228601194884,1.0,1.0
unpartitioned-two-regime,101,0.1599507313463977,1.0,1.0
context-partitioned,101,0.008097016609102156,1.0,1.0
single-regime,102,0.006500208720358325,1.0,1.0
unpartitioned-two-regime,102,0.165469912016521,1.0,1.0
context-partitioned,102,0.011681378968322591,1.0,1.0
single-regime,103,0.0067681343951840915,1.0,1.0
unpartitioned-two-regime,103,0.16603537201283414,1.0,1.0
context-partitioned,103,0.008892034135270675,1.0,1.0
single-regime,104,0.00514093919706786,1.0,1.0
unpartitioned-two-regime,104,0.1495102829179455,1.0,0.975
context-partitioned,104,0.007485806839368047,1.0,1.0
single-regime,105,0.007939751507834467,1.0,1.0
unpartitioned-two-regime,105,0.1516688574581729,1.0,0.975
context-partitioned,105,0.009752197592825545,1.0,1.0
single-regime,106,0.00569234208710713,1.0,1.0
unpartitioned-two-regime,106,0.1667135924970614,1.0,1.0
context-partitioned,106,0.009433479589319442,1.0,1.0
single-regime,107,0.006007316535488666,1.0,1.0
unpartitioned-two-regime,107,0.16620286468878645,1.0,1.0
context-partitioned,107,0.007567958096588941,1.0,1.0
single-regime,108,0.0072279032268070574,1.0,1.0
unpartitioned-two-regime,108,0.16642421870315977,1.0,1.0
context-partitioned,108,0.009970921925953483,1.0,0.975
single-regime,109,0.005231023308394169,1.0,1.0
unpartitioned-two-regime,109,0.15079190876000265,1.0,0.975
context-partitioned,109,0.009808751530199151,1.0,1.0
single-regime,110,0.006702629130037531,1.0,1.0
unpartitioned-two-regime,110,0.16470987594213404,1.0,1.0
context-partitioned,110,0.009255824532861133,1.0,1.0
single-regime,111,0.0076337780068518575,1.0,1.0
unpartitioned-two-regime,111,0.16641271213810746,1.0,1.0
context-partitioned,111,0.010805671193621783,1.0,1.0
single-regime,112,0.0057760626436864715,1.0,1.0
unpartitioned-two-regime,112,0.1647021771124821,1.0,1.0
context-partitioned,112,0.008766134534580026,1.0,1.0
single-regime,113,0.007269574646966617,1.0,1.0
unpartitioned-two-regime,113,0.16521740470346452,1.0,1.0
context-partitioned,113,0.008097113837037435,1.0,1.0
single-regime,114,0.004068245183749346,1.0,1.0
unpartitioned-two-regime,114,0.16157163014182366,1.0,1.0
context-partitioned,114,0.00858460706234572,1.0,1.0
single-regime,115,0.005683127101491203,1.0,1.0
unpartitioned-two-regime,115,0.1662602866189347,1.0,1.0
context-partitioned,115,0.00936149491365598,1.0,1.0
single-regime,116,0.006515705032848877,1.0,1.0
unpartitioned-two-regime,116,0.1480896493866067,1.0,0.975
context-partitioned,116,0.008932325195294855,1.0,1.0
single-regime,117,0.007818543540521071,1.0,1.0
unpartitioned-two-regime,117,0.1650485672876293,1.0,1.0
context-partitioned,117,0.012313229933030181,1.0,1.0
single-regime,118,0.0028668251318503184,1.0,1.0
unpartitioned-two-regime,118,0.14629472943302183,1.0,0.975
context-partitioned,118,0.011191117716481694,1.0,1.0
single-regime,119,0.0043654267320134025,1.0,1.0
unpartitioned-two-regime,119,0.16359242855751358,1.0,1.0
context-partitioned,119,0.009218941006865251,1.0,1.0
single-regime,120,0.005812736868974812,1.0,1.0
unpartitioned-two-regime,120,0.16437532402963814,1.0,1.0
context-partitioned,120,0.00919449930995837,1.0,1.0
single-regime,121,0.007939988461265033,1.0,1.0
unpartitioned-two-regime,121,0.16614994644889344,1.0,1.0
context-partitioned,121,0.01132753572222498,1.0,1.0
single-regime,122,0.006663941495438329,1.0,1.0
unpartitioned-two-regime,122,0.15084863341748148,1.0,0.975
context-partitioned,122,0.010716349826806915,1.0,1.0
single-regime,123,0.008327948272102816,1.0,1.0
unpartitioned-two-regime,123,0.16533458674714316,1.0,1.0
context-partitioned,123,0.010235461921847457,1.0,1.0
single-regime,124,0.006340897121606391,1.0,1.0
unpartitioned-two-regime,124,0.16660408101481874,1.0,1.0
context-partitioned,124,0.009755696101185794,1.0,1.0
single-regime,125,0.005593798306223352,1.0,1.0
unpartitioned-two-regime,125,0.14729615092669066,1.0,0.975
context-partitioned,125,0.0101641203341683,1.0,1.0
single-regime,126,0.007560680950368676,1.0,1.0
unpartitioned-two-regime,126,0.16294532537508696,1.0,1.0
context-partitioned,126,0.011145780584730477,1.0,1.0
single-regime,127,0.007910535946758597,1.0,1.0
unpartitioned-two-regime,127,0.16138955398149604,1.0,1.0
context-partitioned,127,0.008639948993504665,1.0,1.0
single-regime,128,0.007241780682416727,1.0,1.0
unpartitioned-two-regime,128,0.16309742982322573,1.0,1.0
context-partitioned,128,0.0113035934723718,1.0,1.0
single-regime,129,0.006268197085854961,1.0,1.0
unpartitioned-two-regime,129,0.1646845609957304,1.0,1.0
context-partitioned,129,0.008785874974555049,1.0,1.0
single-regime,130,0.009749192037248094,1.0,1.0
unpartitioned-two-regime,130,0.1620804314209864,1.0,1.0
context-partitioned,130,0.009395932585117846,1.0,1.0
single-regime,131,0.00434189702170913,1.0,1.0
unpartitioned-two-regime,131,0.16576533277079328,1.0,1.0
context-partitioned,131,0.007791014709370603,1.0,1.0
single-regime,132,0.004896957459123142,1.0,1.0
unpartitioned-two-regime,132,0.16491214424070033,1.0,0.95
context-partitioned,132,0.008219230372687238,1.0,1.0
single-regime,133,0.007816009874669233,1.0,1.0
unpartitioned-two-regime,133,0.14923062109696447,1.0,0.975
context-partitioned,133,0.005722102592634225,1.0,1.0
single-regime,134,0.007775166274975783,1.0,1.0
unpartitioned-two-regime,134,0.14369363865248388,1.0,0.975
context-partitioned,134,0.010414182489506364,1.0,0.975
single-regime,135,0.004273409077102753,1.0,1.0
unpartitioned-two-regime,135,0.1653446697228136,1.0,1.0
context-partitioned,135,0.009954854067842207,1.0,1.0
single-regime,136,0.007237684620021622,1.0,1.0
unpartitioned-two-regime,136,0.16553756558244406,1.0,1.0
context-partitioned,136,0.007668314097688403,1.0,1.0
single-regime,137,0.005250764520768592,1.0,1.0
unpartitioned-two-regime,137,0.16655557549398745,1.0,1.0
context-partitioned,137,0.009839106275249074,1.0,1.0
single-regime,138,0.005456654120723957,1.0,1.0
unpartitioned-two-regime,138,0.16488518226553994,1.0,1.0
context-partitioned,138,0.006555801196496042,1.0,1.0
single-regime,139,0.004041120753606463,1.0,1.0
unpartitioned-two-regime,139,0.16643851412501215,1.0,1.0
context-partitioned,139,0.006823315637397546,1.0,1.0
single-regime,140,0.007125639314864633,1.0,1.0
unpartitioned-two-regime,140,0.16462235860297744,1.0,1.0
context-partitioned,140,0.005751789186243102,1.0,1.0
single-regime,141,0.0036722059078153966,1.0,1.0
unpartitioned-two-regime,141,0.14763759827662595,1.0,0.975
context-partitioned,141,0.00960541184356168,1.0,1.0
single-regime,142,0.0026562658407494315,1.0,1.0
unpartitioned-two-regime,142,0.1664996066997906,1.0,1.0
context-partitioned,142,0.007790488654526118,1.0,1.0
single-regime,143,0.00815308065480745,1.0,1.0
unpartitioned-two-regime,143,0.16542889409545322,1.0,0.95
context-partitioned,143,0.01168198746231337,1.0,1.0
single-regime,144,0.005960610411203146,1.0,1.0
unpartitioned-two-regime,144,0.16637854274822375,1.0,1.0
context-partitioned,144,0.007659249529076307,1.0,1.0
single-regime,145,0.006082026707803164,1.0,1.0
unpartitioned-two-regime,145,0.1515626654407395,1.0,0.975
context-partitioned,145,0.007384616679414005,1.0,1.0
single-regime,146,0.008143786832961795,1.0,1.0
unpartitioned-two-regime,146,0.1493729233074192,1.0,0.975
context-partitioned,146,0.008978362491562086,1.0,1.0
single-regime,147,0.00448469397428494,1.0,1.0
unpartitioned-two-regime,147,0.16275213586680948,1.0,1.0
context-partitioned,147,0.008896765170640836,1.0,1.0
single-regime,148,0.006739089014608728,1.0,1.0
unpartitioned-two-regime,148,0.16615071052062444,1.0,1.0
context-partitioned,148,0.007799434081150544,1.0,1.0
single-regime,149,0.006211841075138957,1.0,1.0
unpartitioned-two-regime,149,0.16678516049427197,1.0,1.0
context-partitioned,149,0.008550987931152994,1.0,1.0
single-regime,150,0.010643472205253772,1.0,1.0
unpartitioned-two-regime,150,0.16079353735389093,1.0,1.0
context-partitioned,150,0.01067876591003396,1.0,1.0
single-regime,151,0.006418142332051654,1.0,1.0
unpartitioned-two-regime,151,0.16454958928403818,1.0,1.0
context-partitioned,151,0.006242300089899228,1.0,1.0
single-regime,152,0.006099735613414512,1.0,1.0
unpartitioned-two-regime,152,0.1656767415420663,1.0,1.0
context-partitioned,152,0.006935947486837204,1.0,1.0
single-regime,153,0.005828644419355363,1.0,1.0
unpartitioned-two-regime,153,0.16199279078828355,1.0,1.0
context-partitioned,153,0.00866063905149848,1.0,1.0
single-regime,154,0.006054701608091979,1.0,1.0
unpartitioned-two-regime,154,0.161847154795933,1.0,1.0
context-partitioned,154,0.007073845072076956,1.0,1.0
single-regime,155,0.005877796106394179,1.0,1.0
unpartitioned-two-regime,155,0.1625099514758742,1.0,1.0
context-partitioned,155,0.01342801800365877,1.0,1.0
single-regime,156,0.005762554762718564,1.0,1.0
unpartitioned-two-regime,156,0.16542879655950088,1.0,1.0
context-partitioned,156,0.00913808396212257,1.0,1.0
single-regime,157,0.007148114112133425,1.0,1.0
unpartitioned-two-regime,157,0.16475615548266026,1.0,1.0
context-partitioned,157,0.010608329126064311,1.0,1.0
single-regime,158,0.00645764393764232,1.0,1.0
unpartitioned-two-regime,158,0.16419217678536333,1.0,1.0
context-partitioned,158,0.0068902434817835236,1.0,1.0
single-regime,159,0.006110601844639387,1.0,1.0
unpartitioned-two-regime,159,0.15051371919789472,1.0,0.975
context-partitioned,159,0.010874099695999416,1.0,1.0
single-regime,160,0.00407276070340144,1.0,1.0
unpartitioned-two-regime,160,0.1486405072495924,1.0,0.975
context-partitioned,160,0.008453757984848582,1.0,1.0
single-regime,161,0.0049136880458810735,1.0,1.0
unpartitioned-two-regime,161,0.14995795226644135,1.0,0.975
context-partitioned,161,0.00907643795716961,1.0,1.0
single-regime,162,0.005781606345525014,1.0,1.0
unpartitioned-two-regime,162,0.15191746054751015,1.0,0.975
context-partitioned,162,0.008190073904895713,1.0,1.0
single-regime,163,0.005508053032674695,1.0,1.0
unpartitioned-two-regime,163,0.16614280729830747,1.0,1.0
context-partitioned,163,0.0074400352664656475,1.0,1.0
single-regime,164,0.005330876920471221,1.0,1.0
unpartitioned-two-regime,164,0.1654529009533843,1.0,1.0
context-partitioned,164,0.006873488058623537,1.0,1.0
single-regime,165,0.006489007211668416,1.0,1.0
unpartitioned-two-regime,165,0.16640683245944743,1.0,1.0
context-partitioned,165,0.009048592161994886,1.0,1.0
single-regime,166,0.004460054928501765,1.0,1.0
unpartitioned-two-regime,166,0.15122253143716197,1.0,0.975
context-partitioned,166,0.008755811196214935,1.0,1.0
single-regime,167,0.005808502282250713,1.0,1.0
unpartitioned-two-regime,167,0.16603752162903937,1.0,1.0
context-partitioned,167,0.007998855111677269,1.0,1.0
single-regime,168,0.004698020367785975,1.0,1.0
unpartitioned-two-regime,168,0.16527759316017432,1.0,1.0
context-partitioned,168,0.010301921940677299,1.0,1.0
single-regime,169,0.006426383696613248,1.0,1.0
unpartitioned-two-regime,169,0.16494287514883765,1.0,1.0
context-partitioned,169,0.009165003465183522,1.0,1.0
single-regime,170,0.005677001224763335,1.0,1.0
unpartitioned-two-regime,170,0.14756172139164567,1.0,0.975
context-partitioned,170,0.008090476981715085,1.0,1.0
single-regime,171,0.0068301913906677995,1.0,1.0
