scene,target_workers,seed,task_id,epsilon,max_iterations,fixed_point_gap,iterations,converged,cap_hit,reference_iterations,reference_converged
Climate,27,20260808,38,0.001,5,0.00010963330426838346,1,True,False,25,True
Climate,27,20260808,38,0.001,50,0.00010963330426838346,1,True,False,25,True
Climate,27,20260808,38,1e-05,2,5.055175505685232e-05,2,False,True,25,True
Climate,27,20260808,38,1e-05,5,4.898133833640625e-06,5,True,False,25,True
Climate,27,20260808,38,1e-05,50,4.898133833640625e-06,5,True,False,25,True
Climate,27,20260808,38,1e-12,2,5.055175505685232e-05,2,False,True,25,True
Climate,27,20260808,38,1e-12,5,4.898133833640625e-06,5,False,True,25,True
Climate,27,20260808,38,1e-12,50,0.0,25,True,False,25,True
Climate,27,20260808,39,0.001,2,1.2590985321419448e-05,1,True,False,19,True
Climate,27,20260808,39,0.001,5,1.2590985321419448e-05,1,True,False,19,True
Climate,27,20260808,39,0.001,50,1.2590985321419448e-05,1,True,False,19,True
Climate,27,20260808,39,1e-05,2,4.3677060143272865e-06,2,True,False,19,True
Climate,27,20260808,39,1e-05,5,4.3677060143272865e-06,2,True,False,19,True
Climate,27,20260808,39,1e-05,50,4.3677060143272865e-06,2,True,False,19,True
Climate,27,20260808,39,1e-12,2,4.3677060143272865e-06,2,False,True,19,True
Climate,27,20260808,39,1e-12,5,2.6191174515048316e-07,5,False,True,19,True
Climate,27,20260808,39,1e-12,50,0.0,19,True,False,19,True
Climate,27,20260808,40,0.001,2,1.3793976978474995e-06,2,True,False,7,True
Climate,27,20260808,40,0.001,5,1.3793976978474995e-06,2,True,False,7,True
Climate,27,20260808,40,0.001,50,1.3793976978474995e-06,2,True,False,7,True
Climate,27,20260808,40,1e-05,2,1.3793976978474995e-06,2,False,True,7,True
Climate,27,20260808,40,1e-05,5,3.052486293640236e-08,3,True,False,7,True
Climate,27,20260808,40,1e-05,50,3.052486293640236e-08,3,True,False,7,True
Climate,27,20260808,40,1e-12,2,1.3793976978474995e-06,2,False,True,7,True
Climate,27,20260808,40,1e-12,5,1.731749811924516e-11,5,False,True,7,True
Climate,27,20260808,40,1e-12,50,0.0,7,True,False,7,True
Climate,27,20260808,41,0.001,2,0.00012061313190426932,1,True,False,18,True
Climate,27,20260808,41,0.001,5,0.00012061313190426932,1,True,False,18,True
Climate,27,20260808,41,0.001,50,0.00012061313190426932,1,True,False,18,True
Climate,27,20260808,41,1e-05,2,3.7305522300979155e-05,2,False,True,18,True
Climate,27,20260808,41,1e-05,5,3.5098150613174317e-06,4,True,False,18,True
Climate,27,20260808,41,1e-05,50,3.5098150613174317e-06,4,True,False,18,True
Climate,27,20260808,41,1e-12,2,3.7305522300979155e-05,2,False,True,18,True
Climate,27,20260808,41,1e-12,5,1.0745301348506471e-06,5,False,True,18,True
Climate,27,20260808,41,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,42,0.001,2,3.48272888785118e-05,1,True,False,18,True
Climate,27,20260808,42,0.001,5,3.48272888785118e-05,1,True,False,18,True
Climate,27,20260808,42,0.001,50,3.48272888785118e-05,1,True,False,18,True
Climate,27,20260808,42,1e-05,2,8.986355472818627e-06,2,False,True,18,True
Climate,27,20260808,42,1e-05,5,2.8435871939918516e-06,3,True,False,18,True
Climate,27,20260808,42,1e-05,50,2.8435871939918516e-06,3,True,False,18,True
Climate,27,20260808,42,1e-12,2,8.986355472818627e-06,2,False,True,18,True
Climate,27,20260808,42,1e-12,5,3.086643901366353e-07,5,False,True,18,True
Climate,27,20260808,42,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,43,0.001,2,5.527950760835786e-06,2,True,False,8,True
Climate,27,20260808,43,0.001,5,5.527950760835786e-06,2,True,False,8,True
Climate,27,20260808,43,0.001,50,5.527950760835786e-06,2,True,False,8,True
Climate,27,20260808,43,1e-05,2,5.527950760835786e-06,2,False,True,8,True
Climate,27,20260808,43,1e-05,5,1.9629929641738315e-07,3,True,False,8,True
Climate,27,20260808,43,1e-05,50,1.9629929641738315e-07,3,True,False,8,True
Climate,27,20260808,43,1e-12,2,5.527950760835786e-06,2,False,True,8,True
Climate,27,20260808,43,1e-12,5,2.569912480511317e-10,5,False,True,8,True
Climate,27,20260808,43,1e-12,50,0.0,8,True,False,8,True
Climate,27,20260808,44,0.001,2,6.220931863708751e-05,1,True,False,18,True
Climate,27,20260808,44,0.001,5,6.220931863708751e-05,1,True,False,18,True
Climate,27,20260808,44,0.001,50,6.220931863708751e-05,1,True,False,18,True
Climate,27,20260808,44,1e-05,2,1.988264028121674e-05,2,False,True,18,True
Climate,27,20260808,44,1e-05,5,2.09480589978062e-06,4,True,False,18,True
Climate,27,20260808,44,1e-05,50,2.09480589978062e-06,4,True,False,18,True
Climate,27,20260808,44,1e-12,2,1.988264028121674e-05,2,False,True,18,True
Climate,27,20260808,44,1e-12,5,6.860261881445308e-07,5,False,True,18,True
Climate,27,20260808,44,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,45,0.001,2,7.04678518285983e-05,1,True,False,17,True
Climate,27,20260808,45,0.001,5,7.04678518285983e-05,1,True,False,17,True
Climate,27,20260808,45,0.001,50,7.04678518285983e-05,1,True,False,17,True
Climate,27,20260808,45,1e-05,2,2.0387360434486737e-05,2,False,True,17,True
Climate,27,20260808,45,1e-05,5,1.762789384014651e-06,4,True,False,17,True
