method,geometry,tau,trial,success,finite,expected_fallback,declared_fallback,angular_available,low_count,retained_count,iterations,converged,max_raw_weight,normalization_error
Unprotected,full-rank,1e-06,20,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,21,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-06,21,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-06,22,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,22,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,23,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,23,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,24,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-06,24,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,25,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-06,25,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,26,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-06,26,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-06,27,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,27,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,28,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,28,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,29,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,29,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-06,30,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-06,30,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,31,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-06,31,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,32,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-06,32,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,33,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,33,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,34,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,34,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,35,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,35,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-06,36,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-06,36,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,37,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,37,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,38,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-06,38,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,39,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,39,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-06,40,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,40,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,41,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-06,41,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,42,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-06,42,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,43,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-06,43,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-06,44,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,44,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,45,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,45,True,True,False,False,True,0,27,1,True,0.6931471805599453,3.3306690738754696e-16
Full,full-rank,1e-06,46,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,46,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,47,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,47,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,48,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,48,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,49,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
