protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
BSIF,0,0,setup,register_worker,44,498.982855,88,7485,3137,0,0xc41b25132ac1416d90ee37b295ef74d3b9ab00e7007b0c00597e1eabd06ffef6
RPPS-TDC,0,0,setup,register_worker,44,499.997580,88,7485,3138,0,0x4e09263f686a3aad6d2cf57bb2e4535869f8d84ef121e914bd1861a1a5a57bbe
BSIF,0,0,setup,register_worker,45,500.434107,88,7485,3139,0,0xdf70a7b4e5da02e5bc725f4c766a0a8b305066e48155eca3f287b394e85f6fd4
RPPS-TDC,0,0,setup,register_worker,45,538.566252,88,7485,3140,0,0xbc4886e1399cb70017fa3ec09cbbcca61c4c856a4dd5492dc3975c3639a24e0a
BSIF,0,0,setup,register_worker,46,466.900085,88,7485,3141,0,0xccf9696eaad2c2e2f76cb17b5f4963dd0798e29a879eaed6f5e7c6862c2f4e85
RPPS-TDC,0,0,setup,register_worker,46,499.625501,88,7485,3142,0,0x64ca6b6df063d9da26409061c1a1ef106ce06c0b59d28cde617d719c7e905346
BSIF,0,0,setup,register_worker,47,583.094379,88,7485,3143,0,0x3822f776adae33d6574aaa740f4cca55d524a947f2421c0b6ff3071db2228ece
RPPS-TDC,0,0,setup,register_worker,47,502.155602,88,7485,3144,0,0xeab678f62a70c27c7be4cadcfd95c935fa84546256fcf001e281cfb850946802
BSIF,0,0,setup,register_worker,48,501.818168,88,7485,3145,0,0x45fabbed7ebdf0db17eab895cca49d7e72b0991b983215a63f4af4c94c383bfe
RPPS-TDC,0,0,setup,register_worker,48,500.250513,88,7485,3146,0,0xa0888397fc4b6ba4bef68f45a26e279f3a1698ed6906e520b167a46e7572a97b
BSIF,0,0,setup,register_worker,49,503.798437,88,7485,3147,0,0xd33d9a235d46aa59efd1544b54cd2f9ca0019a5bf94074b481287eb926830e13
RPPS-TDC,0,0,setup,register_worker,49,501.325812,88,7485,3148,0,0xee1da3b5da4568587e08d83e7c56bfa0b410e3ba5ce5b4b45ab47edb3560c115
IRPP-TD,3,-1,normal,publish,0,490.651065,289,16530,3149,0,0x095091f5efae7072dfd94b3990d46e899d6a707e856cdd0d3083f64ceea28fa1
IRPP-TD,3,-1,normal,credential_refresh,1,500.033062,289,28384,3150,0,0x1a977849a394be444edbbed94adfc56e4c19b4b72134a3ed742260005d142c83
IRPP-TD,3,-1,normal,credential_refresh,2,501.506606,289,28384,3151,0,0xb571a7a906c5ade604e923109e68816f1370c03a4045454d12b9b17cd5d4e540
IRPP-TD,3,-1,normal,credential_refresh,3,501.784489,289,28384,3152,0,0x4204cceda1ae9ac7cdc1a84fcd504daa2d9358850733cb14e4f94cd0c91caf10
IRPP-TD,3,-1,normal,input_close,4,503.321138,289,18625,3153,0,0xa7672d753f46f38fda2848267fd912223e36ef66dd138d64117ad46c900a3507
IRPP-TD,3,-1,normal,output_commit,5,498.990511,353,26849,3154,0,0x729df1e01ebd2dd7f6259d00dfe0f08b47f25ea823c28bca1c9941e556ad04bf
IRPP-TD,3,-1,normal,settle,6,501.332784,225,13383,3155,0,0x4bbf998a01bceb7f5d0c078172c5abda53500c3299df178dba330ec1662430e2
BSIF,3,-1,normal,publish,0,495.750366,609,76767,3156,0,0xb98520b772c5a21b7324607c3816f4902d66dffd2509f72197b6d552d9da8adc
BSIF,3,-1,normal,encrypted_upload,1,499.842855,7651,1185200,3157,0,0x728f8f545aad334ca65c389b8bc24d424c1b1a76ff69ebf77a6ccc4d24ccb5b7
BSIF,3,-1,normal,encrypted_upload,2,511.060659,7651,1185200,3158,0,0xf814b260bdd2685af1b077609f8c1d76bdfd16e43002c0aec0220a8be50ac4a2
BSIF,3,-1,normal,encrypted_upload,3,501.220216,7651,1185200,3159,0,0x34a4b2b8306b799cdc34d6cac2f800df1f5ee8618ac8ac452c6f256a65dcab5c
BSIF,3,-1,normal,quality_report,4,536.101333,225,18236,3160,0,0x0a152dcdbbbca9dae94f9e947ead541975307489273e92473f2d022a6f6b7228
BSIF,3,-1,normal,reputation_update,5,464.936604,88,7486,3161,0,0x68eb3650489d9711bf5470e07ea341ec80f0cae0ee9ebfe266eec2d0d2ff3610
BSIF,3,-1,normal,reputation_update,6,501.480113,88,7486,3162,0,0x71ac471888a21e67a9092bf45227d2a1d5b1095ed2d23f0ad22b61ee3403a819
BSIF,3,-1,normal,reputation_update,7,500.630478,88,7486,3163,0,0xe23ddb48fc5c1ed643c0d4a1a6b0d2e85216938efcbd3de713641194644e19bc
BSIF,3,-1,normal,settle,8,501.314451,225,11065,3164,0,0xf5208d12abbd5ee8ff6275520129703fafe9976d58fb53332a56b89ecdadf91f
RPPS-TDC,3,-1,normal,publish,0,540.448757,609,76767,3165,0,0xc10997cc704820d24e42326d0f7146189e80f2943a4549e8305d691258933d6f
RPPS-TDC,3,-1,normal,encrypted_upload,1,500.493812,7235,1119312,3166,0,0x82514d96ebfea009f68374fdc4ef51029d6d3ecd64040a64ed21898ec872b939
RPPS-TDC,3,-1,normal,encrypted_upload,2,505.205490,7235,1119312,3167,0,0xb6244e07ae6594ac03530417e6a17103d2c50dd2c5b2e7f4daa051914a2fcdd2
RPPS-TDC,3,-1,normal,encrypted_upload,3,541.941161,7235,1119312,3168,0,0x5ff1e5b5b274c88b2d7c5d8318291c8f176d897d8f752ba92912328e3576b413
RPPS-TDC,3,-1,normal,trust_update,4,504.961911,225,11089,3169,0,0xaaf5b4b2076ad1de688d78e5ad1cd7554bb0f24f8526c7d8e273411c5e8a3246
RPPS-TDC,3,-1,normal,selection,5,513.605305,225,16125,3170,0,0x372fb16bba04a146f05e1880442f76cc05710b7ee01b80deb2c54e38fea99b8f
RPPS-TDC,3,-1,normal,result,6,487.233526,225,16102,3171,0,0x65a05ca7fecff9727b5559285003c018f9878132da516410d9107b54844d6b24
RPPS-TDC,3,-1,normal,reputation_update,7,500.489947,88,7486,3172,0,0x3ec9d06f139aab920afed922db1d92e7beab838d68ff1142a1c497e983de873e
RPPS-TDC,3,-1,normal,reputation_update,8,492.754062,88,7486,3173,0,0xa23ade0d95ede90d8ea926bc94f63c90af70cab8afaf79697ac9d38716089136
RPPS-TDC,3,-1,normal,reputation_update,9,501.876232,88,7486,3174,0,0x52c8da23c6f744723d92359dbe999030f14e1605e7ba0698e2d66d70f91bd3a7
RPPS-TDC,3,-1,normal,settle,10,503.734716,225,11065,3175,0,0xffdb9d624e2c1a7ca573eef0655a0103ae26802ab51aad30ad06ec3bc6759ede
IRPP-TD,3,-2,normal,publish,0,497.207624,289,16530,3176,0,0x40d6dc815529073085e28bb4b5cb291ac710c0f2a706eeaa04ce6ab9452be729
IRPP-TD,3,-2,normal,credential_refresh,1,502.025630,289,28384,3177,0,0xd56cbab25d360e3a55248a908ca83f5c6aa6e261385a13ce3add82978c06ce5b
IRPP-TD,3,-2,normal,credential_refresh,2,503.622008,289,28384,3178,0,0x5ca2d0195b9a2f92109abea37f39ba2f21bc719d2d36ff64dc218d2db17ba2dd
IRPP-TD,3,-2,normal,credential_refresh,3,501.724722,289,28384,3179,0,0x4201c927c4a5715dbbb688cb7e761623f096351ef12f338f9ea1bb959b130553
