protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,e2e_active_ms,e2e_final_ms,total_traffic_task_bytes
IRPP-TD,10,9,256,2026181011,normal,12.225567,0.0,12.225567,7.717702,0.599848,3.792317,0.0,0.0,1.861952,10.363615,86220,1568.0,6,10,True,11,7054.782791,14.0,501.319683,516.065899,4046.0,363893.0,7067.008358,7567.008358,90266.0
BSIF,10,9,256,2026181011,normal,2566.15398,0.0,2566.15398,1829.659479,534.160564,202.252549,0.0,0.0,0.080855,2566.073125,155504,7324.0,1,10,True,11,11567.798476,23.0,500.919828,514.576169,78449.0,12032928.0,14133.952455999999,14133.952455999999,233953.0
RPPS-TDC,10,9,256,2026181011,normal,2811.984332,0.0,2811.984332,1834.655994,195.338394,728.355723,53.279805,0.0,477.092385,2334.891947,158184,6912.0,8,8,True,11,12739.518036,25.0,501.781122,550.030421,74739.0,11399128.0,15551.502368,15551.502368,232923.0
IRPP-TD,10,9,256,2026181012,normal,12.485032,0.0,12.485032,7.906191,0.564931,3.915363,0.0,0.0,2.090936,10.394096,86220,1568.0,6,10,True,12,7199.372405,14.0,502.291451,574.9118,4046.0,363893.0,7211.857437,7711.857437,90266.0
BSIF,10,9,256,2026181012,normal,2475.864713,0.0,2475.864713,1821.147742,514.168703,140.474718,0.0,0.0,0.081438,2475.783275,132272,7324.0,1,7,True,12,11575.501893,23.0,501.227271,504.65827,78449.0,12032928.0,14051.366606,14051.366606,210721.0
RPPS-TDC,10,9,256,2026181012,normal,2778.250565,0.0,2778.250565,1808.974397,192.057516,724.101714,52.79276,0.0,475.157481,2303.093084,158184,6912.0,8,8,True,12,12563.312588,25.0,501.076942,504.289869,74739.0,11399128.0,15341.563153000001,15341.563153000001,232923.0
PRTD,10,9,256,2026181012,normal,6139.863942,0.0,6139.863942,3527.404697,1725.69528,845.396201,40.370738,0.0,380.373076,5759.490866,206540,7808.0,8,10,True,12,,,,,,,6139.863942,6139.863942,206540.0
BSIF,10,9,256,2026181013,normal,2463.201835,0.0,2463.201835,1803.874963,517.704245,141.546011,0.0,0.0,0.091068,2463.110767,132272,7324.0,1,7,True,13,11745.931653,23.0,501.671787,537.029562,78449.0,12032928.0,14209.133488,14209.133488,210721.0
RPPS-TDC,10,9,256,2026181013,normal,2770.298349,0.0,2770.298349,1805.741842,191.503777,720.003531,52.727058,0.0,472.207988,2298.090361,158184,6912.0,8,8,True,13,12553.971571,25.0,500.788097,506.353741,74739.0,11399128.0,15324.26992,15324.26992,232923.0
PRTD,10,9,256,2026181013,normal,6011.52552,0.0,6011.52552,3468.183658,1675.843317,826.862853,39.478964,0.0,373.024968,5638.500552,206540,7808.0,8,10,True,13,,,,,,,6011.52552,6011.52552,206540.0
