protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
RPPS-TDC,27,0,normal,encrypted_upload,13,501.863501,7235,1119312,2879,0,0x97fd1fd6d7cde17082f85f2918b307696bf2285c1a38dc8fe638a7a267fbebcf
RPPS-TDC,27,0,normal,encrypted_upload,14,502.167074,7235,1119312,2880,0,0xe535932be976176b69bfefe1fcf92fecabc17f1241d52dee9137c1bd32abbb16
RPPS-TDC,27,0,normal,encrypted_upload,15,500.032680,7235,1119312,2881,0,0x498a65b847da0dc3667e368057d9a65056d5d9308104c7aa4d5680529cb1e00f
RPPS-TDC,27,0,normal,encrypted_upload,16,502.170532,7235,1119312,2882,0,0x143825c4db3f5f1087fd6b7c4c29a6905b81e6c8a8d8e6040809f236f7b9cd68
RPPS-TDC,27,0,normal,encrypted_upload,17,499.581952,7235,1119312,2883,0,0x95e04c3e2d71e2d2a3c360abb9535ef938c390dbf52012d770f054816f8e05dd
RPPS-TDC,27,0,normal,encrypted_upload,18,499.512446,7235,1119312,2884,0,0x1a6ecc6e575ed4199583c800a8bdb04000db1791f56ea11fb71e23be53f22f0b
RPPS-TDC,27,0,normal,encrypted_upload,19,501.484434,7235,1119312,2885,0,0x02e31c78dbb83126c4ea938cb9255871014a86a9c257214f9009a2ed925fe782
RPPS-TDC,27,0,normal,encrypted_upload,20,536.266000,7235,1119312,2886,0,0xeecc534482e56382585d5f5955ade4b701e1fb68be090592ad585e41127d322e
RPPS-TDC,27,0,normal,encrypted_upload,21,467.100920,7235,1119312,2887,0,0x3e1b275a7c5b617dc6fcc5684c89010258e69f4c8a0fbd361cb8211ff2dcc6eb
RPPS-TDC,27,0,normal,encrypted_upload,22,500.036229,7235,1119312,2888,0,0xfc4245127686f90ff58af5cb649433a1668fd39da59b044dc608ee3166837d1d
RPPS-TDC,27,0,normal,encrypted_upload,23,499.396670,7235,1119312,2889,0,0x8c478ab4b27be4321d29f6af0255825f230c31a94f6323660e67a2059e21dbfb
RPPS-TDC,27,0,normal,encrypted_upload,24,502.675908,7235,1119312,2890,0,0x2447ecb791eaa80474b75a2431b49c041dc3481ca43d927a9b2692bea2487d77
RPPS-TDC,27,0,normal,encrypted_upload,25,501.311064,7235,1119312,2891,0,0xfd385a2ffedd06c7f6b6276c1b65ec9ddf4cb533c89346409f5300a8a7588950
